Language	Concept	IPA	ASJP	SCA
gtd	who	bole	bole	PULE
gba	who	boru	boru	PURY
gkt	who	bol	bol	PUL
gok	who	bor	bor	PUR
psh	who	bər	b3r	PER
pmd	who	bor	bor	PUR
pkh	who	bər	b3r	PER
gcj	who	bor	bor	PUR
ggg	who	boraŋ	boraN	PURAN
khu	who	bor	bor	PUR
bhe	who	bor	bor	PUR
prg	who	bol	bol	PUL
gka	who	bor	bor	PUR
gse	who	boɾ	bor	PUR
gra	who	bor	bor	PUR
gki	who	bor	bor	PUR
gar	who	bor	bor	PUR
gam	who	bor	bor	PUR
gwa	who	bol	bol	PUL
gch	who	bol	bol	PUL
gdh	who	bol	bol	PUL
goa	who	boːru	boru	PURY
met	who	bohu	bohu	PUHY
bhm	who	beːnoːɾ	benor	PENUR
bhs	who	benoːn	benon	PENUN
bhb	who	benoːn	benon	PENUN
mso	who	boɽ	bor	PUR
mlj	who	boɽ	bor	PUR
mud	who	boɾ	bor	PUR
rui	walk	d̪ant̪ord̪a	dantorda	TANTURTA
grp	walk	taka	taka	TAKA
ght	walk	worhatur,taka	worhatur, taka	WURHATYR, TAKA
glb	walk	wortakitor	wortakitor	WURTAKITUR
ktg	walk	worhʌtur,dai̯	worhotur, dai	WURHETYR, TA
dog	walk	datoɾ,da	dator, da	TATUR, TA
mdh	walk	hʌtur,de	hotur, de	HETYR, TE
mku	walk	wordantor,dei	wordantor, dei	WURTANTUR, TE
gni	walk	t̪aksɛr,t̪aka	taksEr, taka	TAKSER, TAKA
lxg	walk	t̪ʌkt̪or,t̪ʌkʌ	toktor, toko	TEKTUR, TEKE
get	walk	walktuksihʌtʌr,takʃir	walktuksihotor, takSir	WALKTYKSIHETER, TAKSIR
gut	walk	taːk(βʌl)	takbol	TAKBEL
gja	walk	takantor,taka	takantor, taka	TAKANTUR, TAKA
gbh	walk	t̪akna	takna	TAKNA
mal	walk	taksorʌtu,taksor,daka	taksorotu, taksor, daka	TAKSURETY, TAKSUR, TAKA
mbh	walk	t̪akˑ(madi)	takmadi	TAKMATI
mad	walk	takisator,taka	takisator, taka	TAKISATUR, TAKA
gtd	walk	olʈakitol,ʈaka	oltakitol, taka	ULTAKITUL, TAKA
gba	walk	taksurdantur,taka	taksurdantur, taka	TAKSYRTANTYR, TAKA
gkt	walk	tʃelsitul,d̪a	tSelsitul, da	TSELSITYL, TA
gok	walk	taktur,dai̯	taktur, dai	TAKTYR, TA
psh	walk	wortatndor,dadakʌra	wortatndor, dadakora	WURTATNTUR, TATAKERA
pmd	walk	takitor,daka	takitor, daka	TAKITUR, TAKA
pkh	walk	hortandor	hortandor	HURTANTUR
gcj	walk	horhandalatoɭ,d̪a	horhandalatoL, da	HURHANTALATUL, TA
ggg	walk	orlatur,taka	orlatur, taka	URLATYR, TAKA
khu	walk	handalatur,hənda	handalatur, h3nda	HANTALATYR, HENTA
bhe	walk	orhəndalatur,tʃəlortakitur,taka	orh3ndalatur, tS3lortakitur, taka	URHENTALATYR, TSELURTAKITYR, TAKA
prg	walk	o	o	U
gka	walk	taksoɡematur,taka	taksogematur, taka	TAKSUKEMATYR, TAKA
gse	walk	handalatur,ʈaka	handalatur, taka	HANTALATYR, TAKA
gra	walk	takʌntoɾ,soɖia	takontor, sodia	TAKENTUR, SUTI
gki	walk	d̪ant̪a,d̪a	danta, da	TANTA, TA
gar	walk	taktur,da(taka)	taktur, dataka	TAKTYR, TATAKA
gam	walk	taksirematur,taka	taksirematur, taka	TAKSIREMATYR, TAKA
gwa	walk	taksitatol,takuda	taksitatol, takuda	TAKSITATUL, TAKYTA
gch	walk	-----	-----	-----
gdh	walk	taktur,taka	taktur, taka	TAKTYR, TAKA
goa	walk	kaktur,takʌ	kaktur, tako	KAKTYR, TAKE
met	walk	takitor,takːa	takitor, taka	TAKITUR, TAKA
bhm	walk	t̪akʌ	tako	TAKE
bhs	walk	d̪ajkal	daykal	TAJKAL
bhb	walk	ɖaju	dayu	TAJY
mso	walk	d̪ei̯	dei	TE
mlj	walk	han	han	HAN
mud	walk	d̪ei̯	dei	TE
rui	mango	mərka	m3rka	MERKA
grp	mango	marka	marka	MARKA
ght	mango	marka	marka	MARKA
glb	mango	mʌrka	morka	MERKA
ktg	mango	mʌrka	morka	MERKA
dog	mango	maɾka	marka	MARKA
mdh	mango	mʌrka	morka	MERKA
mku	mango	mʌrka	morka	MERKA
gni	mango	mʌrkʌ	morko	MERKE
lxg	mango	mərkʌ	m3rko	MERKE
get	mango	mʌrka	morka	MERKA
gut	mango	mʌɾkʌ	morko	MERKE
gja	mango	mʌrka	morka	MERKA
gbh	mango	mamidi	mamidi	MAMITI
mal	mango	mʌqa	moqa	MEKA
mbh	mango	makˑa	maka	MAKA
mad	mango	məkʌ	m3ko	MEKE
gtd	mango	marka	marka	MARKA
gba	mango	marka	marka	MARKA
gkt	mango	marka	marka	MARKA
gok	mango	mʌrka	morka	MERKA
psh	mango	mərka	m3rka	MERKA
pmd	mango	marka	marka	MARKA
pkh	mango	marka	marka	MARKA
gcj	mango	mərka	m3rka	MERKA
ggg	mango	markaŋ	markaN	MARKAN
khu	mango	marka	marka	MARKA
bhe	mango	marka	marka	MARKA
prg	mango	marka	marka	MARKA
gka	mango	marka	marka	MARKA
gse	mango	maɾka	marka	MARKA
gra	mango	maɾka	marka	MARKA
gki	mango	maɾka	marka	MARKA
gar	mango	marka	marka	MARKA
gam	mango	marka	marka	MARKA
gwa	mango	marka	marka	MARKA
gch	mango	marka	marka	MARKA
gdh	mango	marka	marka	MARKA
goa	mango	marka	marka	MARKA
met	mango	məkʌ	m3ko	MEKE
bhm	mango	amba	amba	AMPA
bhs	mango	maɾka	marka	MARKA
bhb	mango	mʌɾka	morka	MERKA
mso	mango	mʌkka	mokka	MEKA
mlj	mango	mʌɾka	morka	MERKA
mud	mango	mʌɾka	morka	MERKA
rui	thread	nul	nul	NYL
grp	thread	sut	sut	SYT
ght	thread	nul	nul	NYL
glb	thread	nul	nul	NYL
ktg	thread	-----	-----	-----
dog	thread	nuɭ	nuL	NYL
mdh	thread	nul	nul	NYL
mku	thread	nul	nul	NYL
gni	thread	nul	nul	NYL
lxg	thread	nuːl	nul	NYL
get	thread	nulu	nulu	NYLY
gut	thread	noːɭ	noL	NUL
gja	thread	nul	nul	NYL
gbh	thread	d̪aɾam	daram	TARAM
mal	thread	nulu	nulu	NYLY
mbh	thread	nulu	nulu	NYLY
mad	thread	nuɭu	nuLu	NYLY
gtd	thread	dhaɡu	dhagu	THAKY
gba	thread	darəm	dar3m	TAREM
gkt	thread	nul	nul	NYL
gok	thread	nul	nul	NYL
psh	thread	suto	suto	SYTU
pmd	thread	sutor	sutor	SYTUR
pkh	thread	suto	suto	SYTU
gcj	thread	nul	nul	NYL
ggg	thread	nul	nul	NYL
khu	thread	nul	nul	NYL
bhe	thread	nul	nul	NYL
prg	thread	nul	nul	NYL
gka	thread	dhaɡa	dhaga	THAKA
gse	thread	nuɭ	nuL	NYL
gra	thread	nuɭ	nuL	NYL
gki	thread	nuɭ	nuL	NYL
gar	thread	nul	nul	NYL
gam	thread	nul	nul	NYL
gwa	thread	nul	nul	NYL
gch	thread	nul	nul	NYL
gdh	thread	nul	nul	NYL
goa	thread	d̪arʌm	darom	TAREM
met	thread	nuɭu	nuLu	NYLY
bhm	thread	nuːl	nul	NYL
bhs	thread	nuːl	nul	NYL
bhb	thread	nuːl	nul	NYL
mso	thread	nul	nul	NYL
mlj	thread	nul	nul	NYL
mud	thread	nul	nul	NYL
rui	belly	pir	pir	PIR
grp	belly	piɾ	pir	PIR
ght	belly	pil	pil	PIL
glb	belly	piɾ	pir	PIR
ktg	belly	pota	pota	PUTA
dog	belly	peʈˑi	peti	PETI
mdh	belly	poʈa	pota	PUTA
mku	belly	poʈa	pota	PUTA
gni	belly	peʈˑi	peti	PETI
lxg	belly	pɛʈˑɪ	pEti	PETI
get	belly	piru	piru	PIRY
gut	belly	pɛʈˑi	pEti	PETI
gja	belly	pir	pir	PIR
gbh	belly	piru,bʰot̪a	piru, bh~ota	PIRY, PUTA
mal	belly	pota	pota	PUTA
mbh	belly	bot̪ʰa	both~a	PUTA
mad	belly	potˑa	pota	PUTA
gtd	belly	pirɛ	pirE	PIRE
gba	belly	pir	pir	PIR
gkt	belly	pil	pil	PIL
gok	belly	poʈa	pota	PUTA
psh	belly	dʰaɾd	dh~ard	TART
pmd	belly	dʰar	dh~ar	TAR
pkh	belly	dʰaɾd	dh~ard	TART
gcj	belly	pil	pil	PIL
ggg	belly	piɾ	pir	PIR
khu	belly	piɾ	pir	PIR
bhe	belly	pir	pir	PIR
prg	belly	piɾ	pir	PIR
gka	belly	piˑr	pir	PIR
gse	belly	pɪɾ	pir	PIR
gra	belly	pɛʈʈi	pEtti	PETI
gki	belly	pɛʈˑi	pEti	PETI
gar	belly	piɾ	pir	PIR
gam	belly	pir	pir	PIR
gwa	belly	piɾ	pir	PIR
gch	belly	piɾ	pir	PIR
gdh	belly	piɾ	pir	PIR
goa	belly	piɾ	pir	PIR
met	belly	botˑa	bota	PUTA
bhm	belly	poʈːʌ	poto	PUTE
bhs	belly	poʈːʌ	poto	PUTE
bhb	belly	poʈːa	pota	PUTA
mso	belly	pʌʈʈa	potta	PETA
mlj	belly	pʌʈʈa	potta	PETA
mud	belly	poʈa	pota	PUTA
rui	star	sukum	sukum	SYKYM
grp	star	taral	taral	TARAL
ght	star	tʃalniŋ	tSalniN	TSALNIN
glb	star	tʃaniŋ	tSaniN	TSANIN
ktg	star	sukwa	sukwa	SYKWA
dog	star	sukum	sukum	SYKYM
mdh	star	hukoŋ	hukoN	HYKUN
mku	star	huko	huko	HYKU
gni	star	sukum	sukum	SYKYM
lxg	star	tʃukːum	tSukum	TSYKYM
get	star	huˑka	huka	HYKA
gut	star	tʃukum	tSukum	TSYKYM
gja	star	huˑka	huka	HYKA
gbh	star	ukˑa	uka	YKA
mal	star	uka	uka	YKA
mbh	star	ukˑa	uka	YKA
mad	star	ukʌ	uko	YKE
gtd	star	t̪ara	tara	TARA
gba	star	hukˑa	huka	HYKA
gkt	star	tado	tado	TATU
gok	star	hũka	huka	HYKA
psh	star	t̪ara	tara	TARA
pmd	star	tara	tara	TARA
pkh	star	t̪ara	tara	TARA
gcj	star	tara	tara	TARA
ggg	star	taraŋ	taraN	TARAN
khu	star	taraŋ	taraN	TARAN
bhe	star	tara	tara	TARA
prg	star	tara	tara	TARA
gka	star	t̪ara	tara	TARA
gse	star	tʃani	tSani	TSANI
gra	star	sokum	sokum	SUKYM
gki	star	sukum	sukum	SYKYM
gar	star	suku	suku	SYKY
gam	star	suku	suku	SYKY
gwa	star	tʃandani	tSandani	TSANTANI
gch	star	sukku	sukku	SYKY
gdh	star	taro	taro	TARU
goa	star	suka	suka	SYKA
met	star	ukʌ	uko	YKE
bhm	star	ukasi	ukasi	YKASI
bhs	star	ukːam	ukam	YKAM
bhb	star	-----	-----	-----
mso	star	ukkoɳ	ukkon	YKUN
mlj	star	hukka	hukka	HYKA
mud	star	miʈuko	mituko	MITYKU
rui	hot	kasta	kasta	KASTA
grp	hot	kastal	kastal	KASTAL
ght	hot	ɡʌrʌm	gorom	KEREM
glb	hot	kastʌl	kastol	KASTEL
ktg	hot	qasʈa	qasta	KASTA
dog	hot	ɡʌɾʌm,kasta	gorom, kasta	KEREM, KASTA
mdh	hot	kasta	kasta	KASTA
mku	hot	kasta	kasta	KASTA
gni	hot	kaːst̪a	kasta	KASTA
lxg	hot	kaːst̪ʌ	kasto	KASTE
get	hot	kasta	kasta	KASTA
gut	hot	kaːsʈʌ	kasto	KASTE
gja	hot	kastal	kastal	KASTAL
gbh	hot	kasi	kasi	KASI
mal	hot	kasta	kasta	KASTA
mbh	hot	kast̪e	kaste	KASTE
mad	hot	kasta	kasta	KASTA
gtd	hot	kasta	kasta	KASTA
gba	hot	kasta	kasta	KASTA
gkt	hot	kast̪a	kasta	KASTA
gok	hot	kasta	kasta	KASTA
psh	hot	kastʌl	kastol	KASTEL
pmd	hot	kastʌ	kasto	KASTE
pkh	hot	kastʌ	kasto	KASTE
gcj	hot	kastʌl	kastol	KASTEL
ggg	hot	kastəl	kast3l	KASTEL
khu	hot	kastəl	kast3l	KASTEL
bhe	hot	kastəl	kast3l	KASTEL
prg	hot	kastal	kastal	KASTAL
gka	hot	ɡʌrʌm	gorom	KEREM
gse	hot	ɡʌɾʌm	gorom	KEREM
gra	hot	kast̪a	kasta	KASTA
gki	hot	kasta	kasta	KASTA
gar	hot	kastal	kastal	KASTAL
gam	hot	kastal	kastal	KASTAL
gwa	hot	kasta	kasta	KASTA
gch	hot	kasta	kasta	KASTA
gdh	hot	kasta	kasta	KASTA
goa	hot	kasi	kasi	KASI
met	hot	kastʌ	kasto	KASTE
bhm	hot	kast̪ʌ	kasto	KASTE
bhs	hot	kast̪ʌ	kasto	KASTE
bhb	hot	kast̪a	kasta	KASTA
mso	hot	kast̪a	kasta	KASTA
mlj	hot	kast̪a	kasta	KASTA
mud	hot	kasʌle	kasole	KASELE
rui	year	baramaina	baramaina	PARAMANA
grp	year	sal	sal	SAL
ght	year	sal	sal	SAL
glb	year	sal	sal	SAL
ktg	year	warsa	warsa	WARSA
dog	year	baɾamahina	baramahina	PARAMAHINA
mdh	year	warʃa	warSa	WARSA
mku	year	sal	sal	SAL
gni	year	saːl	sal	SAL
lxg	year	saːl	sal	SAL
get	year	wʌrsʌ	worso	WERSE
gut	year	saːl	sal	SAL
gja	year	ʍʌʃʌ	woSo	MESE
gbh	year	vaɾusa	varusa	BARYSA
mal	year	sal	sal	SAL
mbh	year	ede	ede	ETE
mad	year	tʃal	tSal	TSAL
gtd	year	warsa	warsa	WARSA
gba	year	wʌrsʌ	worso	WERSE
gkt	year	sal	sal	SAL
gok	year	warsa	warsa	WARSA
psh	year	sal	sal	SAL
pmd	year	sal	sal	SAL
pkh	year	sawari	sawari	SAWARI
gcj	year	sal	sal	SAL
ggg	year	sal	sal	SAL
khu	year	sal	sal	SAL
bhe	year	sal	sal	SAL
prg	year	sal	sal	SAL
gka	year	sal	sal	SAL
gse	year	βaɾsa	barsa	BARSA
gra	year	saɭ	saL	SAL
gki	year	wʌɾʃʌ,saɭ	worSo, saL	WERSE, SAL
gar	year	wərsa	w3rsa	WERSA
gam	year	wərsa	w3rsa	WERSA
gwa	year	wərsa	w3rsa	WERSA
gch	year	wərs	w3rs	WERS
gdh	year	sal	sal	SAL
goa	year	wʌɾsʌ	worso	WERSE
met	year	waɾʃa	warSa	WARSA
bhm	year	veɽsk	versk	BERSK
bhs	year	veɽsk	versk	BERSK
bhb	year	vaɾsa	varsa	BARSA
mso	year	vaɾsa	varsa	BARSA
mlj	year	oɽsa	orsa	URSA
mud	year	vʌɾsa	vorsa	BERSA
rui	near	dʒəoɖo,kərum	dZ3odo, k3rum	TSETU, KERYM
grp	near	kʌtʃul	kotSul	KETSYL
ght	near	kʌtʃum	kotSum	KETSYM
glb	near	hike	hike	HIKE
ktg	near	here	here	HERE
dog	near	kərum	k3rum	KERYM
mdh	near	here	here	HERE
mku	near	hɛre	hEre	HERE
gni	near	karum	karum	KARYM
lxg	near	kʌrːum	korum	KERYM
get	near	dʌɡɛr	dogEr	TEKER
gut	near	karum	karum	KARYM
gja	near	hɛrɛ	hErE	HERE
gbh	near	d̪aɡʰiɾa	dagh~ira	TAKIRA
mal	near	ere	ere	ERE
mbh	near	d̪aɡˑɾe	dagre	TAKRE
mad	near	(h)ere	here	HERE
gtd	near	kərum	k3rum	KERYM
gba	near	hɛrɛ,dʌɡɛr	hErE, dogEr	HERE, TEKER
gkt	near	karum	karum	KARYM
gok	near	hɛre	hEre	HERE
psh	near	dʒorhẽ	dZorhe	TSURHE
pmd	near	hibare	hibare	HIPARE
pkh	near	dinɡa	dinga	TINKA
gcj	near	katʃul	katSul	KATSYL
ggg	near	kərum	k3rum	KERYM
khu	near	katʃur	katSur	KATSYR
bhe	near	dʒote	dZote	TSUTE
prg	near	karum	karum	KARYM
gka	near	kʌrum	korum	KERYM
gse	near	kʌtʃum	kotSum	KETSYM
gra	near	karum	karum	KARYM
gki	near	kʌɾum	korum	KERYM
gar	near	kətʃum,kərum	k3tSum, k3rum	KETSYM, KERYM
gam	near	kətʃum,kərum	k3tSum, k3rum	KETSYM, KERYM
gwa	near	karum	karum	KARYM
gch	near	kərum	k3rum	KERYM
gdh	near	kərum	k3rum	KERYM
goa	near	pakʌʈe	pakote	PAKETE
met	near	here	here	HERE
bhm	near	mod̪ol	modol	MUTUL
bhs	near	mod̪ol	modol	MUTUL
bhb	near	bokat̪e	bokate	PUKATE
mso	near	moɾol	morol	MURUL
mlj	near	heɽe	here	HERE
mud	near	heɾe	here	HERE
rui	that	ad̪ur	adur	ATYR
grp	that	hat	hat	HAT
ght	that	hʌd	hod	HET
glb	that	hadu	hadu	HATY
ktg	that	hadɛn	hadEn	HATEN
dog	that	had̪u	hadu	HATY
mdh	that	hodu	hodu	HUTY
mku	that	hod	hod	HUT
gni	that	ʌd̪u	odu	ETY
lxg	that	ʌd̪ːu	odu	ETY
get	that	hʌdu	hodu	HETY
gut	that	ʌd̪uʔ	odu7	ETYH
gja	that	adu	adu	ATY
gbh	that	aɡˑa	aga	AKA
mal	that	adu	adu	ATY
mbh	that	ad̪a	ada	ATA
mad	that	ad̪u	adu	ATY
gtd	that	luk	luk	LYK
gba	that	adu	adu	ATY
gkt	that	hade	hade	HATE
gok	that	had	had	HAT
psh	that	ʌd	od	ET
pmd	that	adu	adu	ATY
pkh	that	ʌd	od	ET
gcj	that	aðʌ	a8o	ADE
ggg	that	adɨ	ad3	ATI
khu	that	adə	ad3	ATE
bhe	that	adɨ	ad3	ATI
prg	that	ad̪ə	ad3	ATE
gka	that	had̪u	hadu	HATY
gse	that	had̪	had	HAT
gra	that	aʋɖul	awdul	AWTYL
gki	that	had̪	had	HAT
gar	that	adu	adu	ATY
gam	that	hadu	hadu	HATY
gwa	that	ad	ad	AT
gch	that	adə	ad3	ATE
gdh	that	ad̪u	adu	ATY
goa	that	ad̪u	adu	ATY
met	that	had̪u	hadu	HATY
bhm	that	ʌd̪	od	ET
bhs	that	ad̪	ad	AT
bhb	that	ud̪u	udu	YTY
mso	that	hʌd̪u	hodu	HETY
mlj	that	ʌd̪	od	ET
mud	that	ad̪ʰ	adh~	AT
rui	rope	noɖɛ	nodE	NUTE
grp	rope	nore	nore	NURE
ght	rope	nore	nore	NURE
glb	rope	nore	nore	NURE
ktg	rope	dore	dore	TURE
dog	rope	noɖe	node	NUTE
mdh	rope	mʌros	moros	MERUS
mku	rope	morus	morus	MURYS
gni	rope	noɖe	node	NUTE
lxg	rope	noɖɛ	nodE	NUTE
get	rope	nore	nore	NURE
gut	rope	nɔːɖɛ	nodE	NUTE
gja	rope	noŋɖe	noNde	NUNTE
gbh	rope	nonde	nonde	NUNTE
mal	rope	nore	nore	NURE
mbh	rope	nonde	nonde	NUNTE
mad	rope	noɳɖe	nonde	NUNTE
gtd	rope	dori	dori	TURI
gba	rope	noɳɖe	nonde	NUNTE
gkt	rope	none	none	NUNE
gok	rope	morʌs	moros	MURES
psh	rope	dori	dori	TURI
pmd	rope	duri	duri	TYRI
pkh	rope	dori	dori	TURI
gcj	rope	nore	nore	NURE
ggg	rope	naɖa	nada	NATA
khu	rope	rsarat	rsarat	RSARAT
bhe	rope	tsarat	tsarat	TSARAT
prg	rope	kasara	kasara	KASARA
gka	rope	noːɖeʔ	node7	NUTEH
gse	rope	noɖei̯	nodei	NUTE
gra	rope	noɖeʔ	node7	NUTEH
gki	rope	noɖe	node	NUTE
gar	rope	noɖe	node	NUTE
gam	rope	noɖe	node	NUTE
gwa	rope	none	none	NUNE
gch	rope	noneʔ	none7	NUNEH
gdh	rope	none	none	NUNE
goa	rope	nõnɖe	nonde	NUNTE
met	rope	nõnɖe	nonde	NUNTE
bhm	rope	poɡːam	pogam	PUKAM
bhs	rope	poɡːam	pogam	PUKAM
bhb	rope	d̪oɡːam	dogam	TUKAM
mso	rope	kasɾa	kasra	KASRA
mlj	rope	moɾs	mors	MURS
mud	rope	doɾi	dori	TURI
rui	nose	ma̯osər	maos3r	MASER
grp	nose	mʌsor	mosor	MESUR
ght	nose	mʌsʌr	mosor	MESER
glb	nose	mosʌr	mosor	MUSER
ktg	nose	mosər	mos3r	MUSER
dog	nose	mʌsur	mosur	MESYR
mdh	nose	mosor	mosor	MUSUR
mku	nose	mʌsor	mosor	MESUR
gni	nose	mosur	mosur	MUSYR
lxg	nose	mɪsor	misor	MISUR
get	nose	musər	mus3r	MYSER
gut	nose	mos̪əɾ	mos3r	MUSER
gja	nose	musər	mus3r	MYSER
gbh	nose	mukˑu	muku	MYKY
mal	nose	mosori	mosori	MUSURI
mbh	nose	mosoɾe	mosore	MUSURE
mad	nose	mɔsor	mosor	MUSUR
gtd	nose	masode	masode	MASUTE
gba	nose	mʌsur	mosur	MESYR
gkt	nose	məsʌr	m3sor	MESER
gok	nose	mʌsor	mosor	MESUR
psh	nose	məsər	m3s3r	MESER
pmd	nose	mosər	mos3r	MUSER
pkh	nose	məsər	m3s3r	MESER
gcj	nose	nosər	nos3r	NUSER
ggg	nose	məsor	m3sor	MESUR
khu	nose	məsur	m3sur	MESYR
bhe	nose	məsur	m3sur	MESYR
prg	nose	məsor	m3sor	MESUR
gka	nose	masoɽ	masor	MASUR
gse	nose	masuɾ	masur	MASYR
gra	nose	masoɾ	masor	MASUR
gki	nose	masəɾ	mas3r	MASER
gar	nose	məsor	m3sor	MESUR
gam	nose	məsor	m3sor	MESUR
gwa	nose	məsur	m3sur	MESYR
gch	nose	məsor	m3sor	MESUR
gdh	nose	məsər	m3s3r	MESER
goa	nose	mʌsoɾ	mosor	MESUR
met	nose	moso	moso	MUSU
bhm	nose	mosːoːɾ	mosor	MUSUR
bhs	nose	mosːoːɾ	mosor	MUSUR
bhb	nose	mosːoːɾ	mosor	MUSUR
mso	nose	mɔso	moso	MUSU
mlj	nose	mʌsoɾ	mosor	MESUR
mud	nose	musoɾ	musor	MYSUR
rui	big	persa,dʰəɡur	persa, dh~3gur	PERSA, TEKYR
grp	big	pʌra	pora	PERA
ght	big	paroda	paroda	PARUTA
glb	big	sudʒor	sudZor	SYTSUR
ktg	big	blɛra,hadʒor	blEra, hadZor	PLERA, HATSUR
dog	big	dʰʌɡʌɾ	dh~ogor	TEKER
mdh	big	bⁿera	bn~era	PERA
mku	big	hʌdʒor,bedʰa	hodZor, bedh~a	HETSUR, PETA
gni	big	dʌɡur	dogur	TEKYR
lxg	big	pɛrsʌ	pErso	PERSE
get	big	pʰera	ph~era	PERA
gut	big	dʌɡur	dogur	TEKYR
gja	big	pʰera	ph~era	PERA
gbh	big	ped̪e	pede	PETE
mal	big	bʰera	bh~era	PERA
mbh	big	bʰehiɾa	bh~ehira	PEHIRA
mad	big	bera	bera	PERA
gtd	big	pəla	p3la	PELA
gba	big	pʰehera	ph~ehera	PEHERA
gkt	big	moʈʰo	moth~o	MUTU
gok	big	hʌdʒor	hodZor	HETSUR
psh	big	bare	bare	PARE
pmd	big	bad̆ekna̯	badekna	PATEKNA
pkh	big	bare	bare	PARE
gcj	big	puɖa	puda	PYTA
ggg	big	pʰədal	ph~3dal	PETAL
khu	big	pʰadəl	ph~ad3l	PATEL
bhe	big	paɖal	padal	PATAL
prg	big	paɖa	pada	PATA
gka	big	paɖ̆a	pada	PATA
gse	big	paɖoɾ	pador	PATUR
gra	big	pɛɾsa	pErsa	PERSA
gki	big	dɦəɡuɾ	dh3gur	THEKYR
gar	big	pʰaɖa	ph~ada	PATA
gam	big	pʰaɖa	ph~ada	PATA
gwa	big	paɖa	pada	PATA
gch	big	paɖai̯	padai	PATA
gdh	big	moʈo	moto	MUTU
goa	big	pɛrʌd̪	pErod	PERET
met	big	bera	bera	PERA
bhm	big	biɽijʌ	biriyo	PIRIJE
bhs	big	biɽijʌ	biriyo	PIRIJE
bhb	big	biɽija	biriya	PIRIJA
mso	big	bʌɾho	borho	PERHU
mlj	big	hodʒor	hodZor	HUTSUR
mud	big	bʌɾha	borha	PERHA
rui	mother	baie,baiye	baie, baiie	PA, PA
grp	mother	d̪ai̯	dai	TA
ght	mother	awal	awal	AWAL
glb	mother	mai̯	mai	MA
ktg	mother	dai̯	dai	TA
dog	mother	baije	baiye	PAJE
mdh	mother	yal	ial	YL
mku	mother	ai̯yal	aiial	AL
gni	mother	jai̯jal	yaiyal	JAJAL
lxg	mother	jaːl,ʌwaːl	yal, owal	JAL, EWAL
get	mother	hawa	hawa	HAWA
gut	mother	bʌiːɛ	boiE	PE
gja	mother	aval	aval	ABAL
gbh	mother	i̯awal	iawal	IWAL
mal	mother	yai̯ya,haʌva	iaiia, haova	Y, HABA
mbh	mother	au̯a	aua	A
mad	mother	ava	ava	ABA
gtd	mother	mai̯	mai	MA
gba	mother	ava	ava	ABA
gkt	mother	mai̯o	maio	MA
gok	mother	ai̯ya	aiia	A
psh	mother	bou̯	bou	PU
pmd	mother	bao̯	bao	PA
pkh	mother	bao̯	bao	PA
gcj	mother	mai̯	mai	MA
ggg	mother	dai	dai	TA
khu	mother	dai	dai	TA
bhe	mother	dʰai	dh~ai	TA
prg	mother	dʰai	dh~ai	TA
gka	mother	awal̆	awal	AWAL
gse	mother	jɛal	yEal	JEL
gra	mother	jaɭ	yaL	JAL
gki	mother	matɾi,baije	matri, baiye	MATRI, PAJE
gar	mother	(y)awal,maiyal	iawal, maiial	YAWAL, MAL
gam	mother	awal	awal	AWAL
gwa	mother	ya	ia	Y
gch	mother	ya	ia	Y
gdh	mother	ya	ia	Y
goa	mother	jaʃʌl	yaSol	JASEL
met	mother	jʌijal	yoiyal	JEJAL
bhm	mother	jajo	yayo	JAJU
bhs	mother	jaja	yaya	JAJA
bhb	mother	jajo	yayo	JAJU
mso	mother	yaya	iaia	Y
mlj	mother	jaja	yaya	JAJA
mud	mother	jaja	yaya	JAJA
rui	above	pʰəro	ph~3ro	PERU
grp	above	puro	puro	PYRU
ght	above	paro	paro	PARU
glb	above	paro	paro	PARU
ktg	above	poro	poro	PURU
dog	above	poro	poro	PURU
mdh	above	pʌro	poro	PERU
mku	above	poro	poro	PURU
gni	above	porːo	poro	PURU
lxg	above	porːo	poro	PURU
get	above	poro	poro	PURU
gut	above	porːo	poro	PURU
gja	above	poro	poro	PURU
gbh	above	poro	poro	PURU
mal	above	pʌrʌnu	poronu	PERENY
mbh	above	poɡenu	pogenu	PUKENY
mad	above	pohʌn	pohon	PUHEN
gtd	above	paro	paro	PARU
gba	above	poro	poro	PURU
gkt	above	paro	paro	PARU
gok	above	puro	puro	PYRU
psh	above	pəra	p3ra	PERA
pmd	above	utʃo	utSo	YTSU
pkh	above	para	para	PARA
gcj	above	paro	paro	PARU
ggg	above	pəro	p3ro	PERU
khu	above	pəro	p3ro	PERU
bhe	above	pəro	p3ro	PERU
prg	above	pəro	p3ro	PERU
gka	above	pʌro	poro	PERU
gse	above	pʋro	pwro	PWRU
gra	above	poro	poro	PURU
gki	above	phʌro	phoro	PHERU
gar	above	pəro	p3ro	PERU
gam	above	pəro	p3ro	PERU
gwa	above	pəro	p3ro	PERU
gch	above	pəro	p3ro	PERU
gdh	above	pəro	p3ro	PERU
goa	above	poro	poro	PURU
met	above	poɣʌn	poxon	PUGEN
bhm	above	poro	poro	PURU
bhs	above	poro	poro	PURU
bhb	above	poro	poro	PURU
mso	above	poho	poho	PUHU
mlj	above	pʌɾo	poro	PERU
mud	above	paro	paro	PARU
rui	rain	pir	pir	PIR
grp	rain	pir	pir	PIR
ght	rain	pil	pil	PIL
glb	rain	pir	pir	PIR
ktg	rain	pir	pir	PIR
dog	rain	pir	pir	PIR
mdh	rain	pir	pir	PIR
