Language	Concept	IPA	ASJP	SCA
ggg	how_many	bətʃolo	b3tSolo	PETSULU
khu	how_many	bətʃo	b3tSo	PETSU
bhe	how_many	bətʃo	b3tSo	PETSU
prg	how_many	bətʃo	b3tSo	PETSU
gka	how_many	batʃale	batSale	PATSALE
gse	how_many	batʃoŋ	batSoN	PATSUN
gra	how_many	bʌtʃʌle	botSole	PETSELE
gki	how_many	bʌtʃəɭe	botS3Le	PETSELE
gar	how_many	bətʃol(ə)	b3tSol3	PETSULE
gam	how_many	bətʃolə	b3tSol3	PETSULE
gwa	how_many	bətʃoŋ	b3tSoN	PETSUN
gch	how_many	bətʃo	b3tSo	PETSU
gdh	how_many	bəttʃo	b3ttSo	PETSU
goa	how_many	bʌtʃʌr	botSor	PETSER
met	how_many	bʌtʃok	botSok	PETSUK
bhm	how_many	betʃoːɾ	betSor	PETSUR
bhs	how_many	besoːɾ	besor	PESUR
bhb	how_many	betjoɾ	betyor	PETJUR
mso	how_many	bʌtʃok	botSok	PETSUK
mlj	how_many	bʌtʃk	botSk	PETSK
mud	how_many	bʌtʃo	botSo	PETSU
rui	cow	mura	mura	MYRA
grp	cow	mura	mura	MYRA
ght	cow	mula	mula	MYLA
glb	cow	mula	mula	MYLA
ktg	cow	tali	tali	TALI
dog	cow	moɾa	mora	MURA
mdh	cow	mure	mure	MYRE
mku	cow	mure	mure	MYRE
gni	cow	muɽʌ	muro	MYRE
lxg	cow	muːrʌ	muro	MYRE
get	cow	ɡuradu	guradu	KYRATY
gut	cow	muːɾʌ	muro	MYRE
gja	cow	mura	mura	MYRA
gbh	cow	pelˑa	pela	PELA
mal	cow	mure	mure	MYRE
mbh	cow	d̪uda	duda	TYTA
mad	cow	mure	mure	MYRE
gtd	cow	t̪ali	tali	TALI
gba	cow	ɡurdu	gurdu	KYRTY
gkt	cow	tali	tali	TALI
gok	cow	tali	tali	TALI
psh	cow	doriel	doriel	TURIL
pmd	cow	dhuli	dhuli	THYLI
pkh	cow	doriel	doriel	TURIL
gcj	cow	mul̆a	mula	MYLA
ggg	cow	muɖaŋ	mudaN	MYTAN
khu	cow	muɖa	muda	MYTA
bhe	cow	muɖa	muda	MYTA
prg	cow	talli	talli	TALI
gka	cow	muɖ̆a	muda	MYTA
gse	cow	mũɖa	muda	MYTA
gra	cow	muɾa	mura	MYRA
gki	cow	mura	mura	MYRA
gar	cow	muɖa	muda	MYTA
gam	cow	muɖa,talli	muda, talli	MYTA, TALI
gwa	cow	talli	talli	TALI
gch	cow	talli	talli	TALI
gdh	cow	talli	talli	TALI
goa	cow	ɡod̪u	godu	KUTY
met	cow	muɖe	mude	MYTE
bhm	cow	ɡoɖ	god	KUT
bhs	cow	ɡoɖ	god	KUT
bhb	cow	ɡoɖ	god	KUT
mso	cow	tʰali	th~ali	TALI
mlj	cow	ʈali	tali	TALI
mud	cow	tʰali	th~ali	TALI
rui	he_was_thirsty	yerwat̪kawəst̪a	ierwatkaw3sta	YRWATKAWESTA
grp	he_was_thirsty	yerundwasimata	ierundwasimata	YRYNTWASIMATA
ght	he_was_thirsty	yerundiwasi	ierundiwasi	YRYNTIWASI
glb	he_was_thirsty	yerundawasimatol	ierundawasimatol	YRYNTAWASIMATUL
ktg	he_was_thirsty	worwʌsta	worwosta	WURWESTA
dog	he_was_thirsty	waɾkawasta	warkawasta	WARKAWASTA
mdh	he_was_thirsty	womkeruŋwʌsta	womkeruNwosta	WUMKERYNWESTA
mku	he_was_thirsty	onɛrundwʌsmata	onErundwosmata	UNERYNTWESMATA
gni	he_was_thirsty	waʈkwasta	watkwasta	WATKWASTA
lxg	he_was_thirsty	onkəɛːrɨwʌtkʌwʌst̪ʌ	onk3Er3wotkowosto	UNKERIWETKEWESTE
get	he_was_thirsty	undʌwʌsta	undowosta	YNTEWESTA
gut	he_was_thirsty	iɛːɾotkʌβʌstʌ	iErotkobosto	IRUTKEBESTE
gja	he_was_thirsty	undʌwʌsi	undowosi	YNTEWESI
gbh	he_was_thirsty	d̪upa	dupa	TYPA
mal	he_was_thirsty	wʌndarvista	wondarvista	WENTARBISTA
mbh	he_was_thirsty	eɣondeaseka	exondeaseka	EGUNTESEKA
mad	he_was_thirsty	undawʌstʌ	undawosto	YNTAWESTE
gtd	he_was_thirsty	yuhunhai̯	iuhunhai	YHYNHA
gba	he_was_thirsty	undʌwʌstʌ	undowosto	YNTEWESTE
gkt	he_was_thirsty	yerwaluksitul	ierwaluksitul	YRWALYKSITYL
gok	he_was_thirsty	kisimta	kisimta	KISIMTA
psh	he_was_thirsty	(wor)piasuhai̯ndor	worpiasuhaindor	WURPISYHANTUR
pmd	he_was_thirsty	-----	-----	-----
pkh	he_was_thirsty	(hor)piasuhai̯ndor	horpiasuhaindor	HURPISYHANTUR
gcj	he_was_thirsty	(hor)piaswatol	horpiaswatol	HURPISWATUL
ggg	he_was_thirsty	piæswəsta	piEsw3sta	PISWESTA
khu	he_was_thirsty	undwasta	undwasta	YNTWASTA
bhe	he_was_thirsty	undawastal,unwake	undawastal, unwake	YNTAWASTAL, YNWAKE
prg	he_was_thirsty	piæslaktal	piEslaktal	PISLAKTAL
gka	he_was_thirsty	ʋaɖɡiwasta	wadgiwasta	WATKIWASTA
gse	he_was_thirsty	waɾtur	wartur	WARTYR
gra	he_was_thirsty	ʋɛɾowat̪uɾ	wErowatur	WERUWATYR
gki	he_was_thirsty	waɾkawast̪a	warkawasta	WARKAWASTA
gar	he_was_thirsty	wərksimatur	w3rksimatur	WERKSIMATYR
gam	he_was_thirsty	wərksimatur	w3rksimatur	WERKSIMATYR
gwa	he_was_thirsty	waluksitul	waluksitul	WALYKSITYL
gch	he_was_thirsty	-----	-----	-----
gdh	he_was_thirsty	(kʰop)piase	kh~oppiase	KUPPISE
goa	he_was_thirsty	dupa	dupa	TYPA
met	he_was_thirsty	und̪awʌstʌ	undawosto	YNTAWESTE
bhm	he_was_thirsty	eːɾuɳɖʌvaht̪ʌ	erundovahto	ERYNTEBAHTE
bhs	he_was_thirsty	eːɾundvasmʌt̪ʌ	erundvasmoto	ERYNTBASMETE
bhb	he_was_thirsty	eːɾunɖʌvaht̪a	erundovahta	ERYNTEBAHTA
mso	he_was_thirsty	eɾundʌwast̪u	erundowastu	ERYNTEWASTY
mlj	he_was_thirsty	pjaswʌst̪	pyaswost	PJASWEST
mud	he_was_thirsty	eɾundʌvʌst	erundovost	ERYNTEBEST
rui	long	lombo	lombo	LUMPU
grp	long	lʌmbo	lombo	LEMPU
ght	long	lʌmbo	lombo	LEMPU
glb	long	lʌmbor	lombor	LEMPUR
ktg	long	l̆uʈi	luti	LYTI
dog	long	lʌmbu	lombu	LEMPY
mdh	long	lʌɡa	loga	LEKA
mku	long	lati	lati	LATI
gni	long	laːm	lam	LAM
lxg	long	laːm	lam	LAM
get	long	lati	lati	LATI
gut	long	laːm	lam	LAM
gja	long	lam,latʰi	lam, lath~i	LAM, LATI
gbh	long	saŋɡad	saNgad	SANKAT
mal	long	lati	lati	LATI
mbh	long	dʒalu	dZalu	TSALY
mad	long	laʈʰi	lath~i	LATI
gtd	long	lambo	lambo	LAMPU
gba	long	laʈʰi	lath~i	LATI
gkt	long	lamo	lamo	LAMU
gok	long	lam	lam	LAM
psh	long	lumbar	lumbar	LYMPAR
pmd	long	lumbar	lumbar	LYMPAR
pkh	long	lʌmbo	lombo	LEMPU
gcj	long	lʌmbo	lombo	LEMPU
ggg	long	ləmbor	l3mbor	LEMPUR
khu	long	ləmmo	l3mmo	LEMU
bhe	long	ləmbur	l3mbur	LEMPYR
prg	long	ləmmo,ləmboyu	l3mmo, l3mboiu	LEMU, LEMPU
gka	long	-----	-----	-----
gse	long	lʌmbo	lombo	LEMPU
gra	long	(wile)lam	wilelam	WILELAM
gki	long	lʌmba	lomba	LEMPA
gar	long	ləmbo	l3mbo	LEMPU
gam	long	ləmbo	l3mbo	LEMPU
